id,name,popularity,genres,year
20sxb77xiYeusSH8cVdatc,Meek Mill,73,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",2015
2qk9voo8llSGYcZ6xrBzKx,Kings of Leon,76,"['modern rock', 'rock']",2015
0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne,77,"['canadian pop', 'candy pop', 'dance pop', 'pop']",2015
7FsRH5bw8iWpSbMX1G7xf1,Joan Sebastian,78,"['banda', 'grupera', 'musica mexicana', 'norteno', 'ranchera']",2015
0A0FS04o6zMoto8OKPsDwY,YG,73,"['cali rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",2015
5XJDexmWFLWOkjOEjOVX3e,Eladio Carrion,80,"['trap boricua', 'trap latino', 'trap triste', 'urbano latino']",2015
3oDbviiivRWhXwIE8hxkVV,The Beach Boys,73,"['baroque pop', 'classic rock', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'singer-songwriter', 'sunshine pop']",2015
43sZBwHjahUvgbx1WNIkIz,Creed,72,"['alternative metal', 'nu metal', 'post-grunge', 'rock']",2015
6Ff53KvcvAj5U7Z1vojB5o,*NSYNC,77,"['boy band', 'dance pop', 'pop']",2015
66lH4jAE7pqPlOlzUKbwA0,Miranda Lambert,70,"['contemporary country', 'country', 'country dawn', 'country road']",2015
1anyVhU62p31KFi8MEzkbf,Chance the Rapper,73,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",2015
5v2WhpA59TJSdPh7LCx1lN,BONES,73,"['cloud rap', 'dark trap']",2015
5xYNmNkaWRqu3e5F4UXME8,Alfredo Olivas,79,"['banda', 'corrido', 'musica mexicana', 'norteno', 'sad sierreno', 'sierreno']",2015
6Q192DXotxtaysaqNPy5yR,Amy Winehouse,78,"['british soul', 'neo soul']",2015
3uo0ix4Y67XHVWBhXXIY1S,Xavier Wulf,70,"['cloud rap', 'dark trap', 'memphis hip hop', 'underground hip hop']",2015
3TOqt5oJwL9BE2NG9MEwDa,Disturbed,77,"['alternative metal', 'nu metal', 'rap metal', 'rock']",2015
5nvWOyAkfNgVLKESq4fOj2,Montell Fish,75,['pittsburgh rap'],2015
6S2OmqARrzebs0tKUEyXyp,Demi Lovato,77,"['pop', 'post-teen pop']",2015
5W5bDNCqJ1jbCgTxDD0Cb3,Willie Nelson,71,"['classic country pop', 'classic texas country', 'country', 'country rock', 'nashville sound', 'outlaw country', 'singer-songwriter']",2015
2cnMpRsOVqtPMfq7YiFE6K,Van Halen,72,"['album rock', 'classic rock', 'hard rock', 'rock']",2015
10exVja0key0uqUkk6LJRT,Vance Joy,76,"['folk-pop', 'modern rock']",2015
41MozSoPIsD1dJM0CLPjZF,BLACKPINK,80,"['k-pop', 'k-pop girl group', 'pop']",2015
4IWBUUAFIplrNtaOHcJPRM,James Arthur,81,"['pop', 'talent show', 'uk pop']",2015
1l7ZsJRRS8wlW3WfJfPfNS,Christina Aguilera,77,"['dance pop', 'pop']",2015
6w9ToX5slZ4uIdmD17hJ3c,Bryant Myers,81,"['reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']",2015
7guDJrEfX3qb6FEbdPA5qi,Stevie Wonder,75,"['motown', 'soul']",2015
5Rl15oVamLq7FbSb0NNBNy,5 Seconds of Summer,76,"['boy band', 'pop']",2015
0GM7qgcRCORpGnfcN2tCiB,Tainy,78,"['pop reggaeton', 'reggaeton', 'trap latino', 'urbano latino']",2015
7Ey4PD4MYsKc5I2dolUwbH,Aerosmith,76,"['album rock', 'classic rock', 'hard rock', 'rock']",2015
2jw70GZXlAI8QzWeY2bgRc,Nelly Furtado,77,"['canadian latin', 'canadian pop', 'dance pop', 'pop']",2015
