id,name,artist_id,year,popularity,release_date,energy,danceability,instrumentalness,loudness,tempo,valence
7HUhMOrlvwBPfBq3c0ajh0,JOYRIDE,6LqNN22kT3074XbTVUrhzX,2024,81,2024-07-04,0.898,0.788,0.000123,-4.653,115.96,0.496
76ODTQOl0JZQbhfxs6nRV9,I Am Not Okay,19k8AgwwTSxeaxkOuCQEJs,2024,78,2024-06-12,0.672,0.512,0.0,-5.298,76.821,0.393
5A8xI7PN4WDe9e61xEdt94,Yeah Glo!,2qoQgPAilErOKCwE2Y8wOG,2024,79,2024-04-05,0.66,0.894,0.0,-5.349,148.072,0.181
0hhzNPE68LWLfgZwdpxVdR,us. (feat. Taylor Swift),4tuJ0bMpJh08umKkEXKUI5,2024,83,2024-06-21,0.553,0.533,0.0,-6.486,102.043,0.391
3Y1EvIgEVw51XtgNEgpz5c,Von dutch,25uiPmTg16RbhZWAqwLBy5,2024,82,2024-06-07,0.698,0.706,0.00375,-5.679,130.013,0.648
1kMWJ16W3Yk3hyNmaM7jfQ,Holy Smokes,3win9vGIxFfBRag9S63wwf,2024,77,2024-02-23,0.569,0.462,0.0,-7.908,95.117,0.432
3SAga35lAPYdjj3qyfEsCF,Feel It - From The Original Series “Invincible”,5y8tKLUfMvliMe8IKamR32,2024,82,2024-03-28,0.593,0.565,0.0,-5.864,120.509,0.429
7Mg5CBO37Rifk2RyDJ8fzd,Boogieman,7iKgSlIINjat3bsCYiNMYX,2024,78,2024-04-24,0.546,0.759,0.0,-8.159,90.059,0.651
7hRLuo4QnzCsjICXUOhTE6,WHISKEY WHISKEY (feat. Morgan Wallen),3tJoFztHeIJkJWMrx0td2f,2024,77,2024-06-14,0.71,0.738,0.0,-3.778,151.985,0.722
4OssqCixV2Xsxd43wMIQyS,CARNIVAL,4xPQFgDA5M2xa0ZGo5iIsv,2024,83,2024-02-09,0.811,0.594,0.0,-5.746,148.144,0.311
4IFd7EVCyJsUHesBMXI8ju,Parking Lot,0YinUQ50QDB7ZxSCLyQ40k,2024,81,2024-06-21,0.555,0.724,2.61e-05,-7.2,100.047,0.408
