track_id,track_name,artist_id,year,energy,danceability,instrumentalness,loudness,tempo,valence,energy_category,tempo_category,danceability_category,valence_category,danceability_valence_interaction,loudness_scaled,loudness_category,instrumentalness_category,custom_score
4v1P7JCjehbg5TmLQo2mFy,7AM,4O15NlyKLIASxsJ0PrXPfz,2015,0.526,0.638,0.0,-8.401,139.054,0.301,Medium,Medium,Medium,Neutral,0.192038,0.7734604606657098,Very High,None,0.552842092133142
6OMO6WdRhSfjMPAiPT94wH,Painkiller,2xiIXseIJcq3nG7C8fHeBj,2015,0.95,0.376,0.0,-4.067,178.018,0.438,High,Fast,Low,Neutral,0.164688,0.9215706376871028,Very High,None,0.6441141275374206
7uWVT3UkCAZyANvv0bdyQn,These Walls,2YZyLoL8N0Wb9xBt1NhZWg,2015,0.489,0.752,3.57e-06,-5.233,108.005,0.373,Medium,Medium,High,Neutral,0.280496,0.8817237372701798,Very High,Low,0.617444747454036
3D7cUXDEKLAFsoD10QRoiR,Smokin' Love (with Collie Buddz),5SXEylV07TC57eanSxxg4R,2015,0.624,0.763,0.00131,-7.454,82.524,0.851,Medium,Slow,High,Happy,0.649313,0.8058232519991799,Very High,Low,0.758814650399836
6gj08XDlv9Duc2fPOxUmVD,Lips Are Movin,6JL8zeS1NmiOftqZTRgdTz,2015,0.825,0.775,1.03e-06,-5.402,139.091,0.95,High,Medium,High,Happy,0.73625,0.8759483288907115,Very High,Low,0.8514396657781423
4NYwy0R3NdvORX2B6OZXBT,Slow Motion,2iojnBLj0qIMiKPvVhLnsH,2015,0.408,0.733,3.92e-05,-7.834,94.947,0.291,Medium,Slow,High,Sad,0.213303,0.7928371266488963,Very High,Low,0.5532174253297792
49zD0wr2S3d0lZPib0K4e1,Fuck Up Some Commas,1RyvyyTE3xzB2ZywiAwp0i,2015,0.568,0.874,1.38e-05,-5.896,139.995,0.46,Medium,Medium,High,Neutral,0.40204,0.8590663659353428,Very High,Low,0.6910132731870686
4TncWhCfACwaIU8hllz8SQ,Sexy Drug,2CmaKO2zEGJ1NWpS1yfVGz,2015,0.978,0.367,0.0,-2.308,135.15,0.639,High,Medium,Low,Happy,0.234513,0.9816827284532842,Very High,None,0.7106865456906568
2v4Tr06c6pj4omEgluFfIh,The Finger Family (Daddy Finger),2PHC7cyBiJM9EZ0E8FKcJ4,2015,0.575,0.873,0.000546,-9.233,112.044,0.862,Medium,Medium,High,Happy,0.752526,0.7450276809514045,High,Low,0.7701555361902809
1Dr5JexwA15wmKe7Y7maA9,Past Lives,1KP6TWI40m7p3QBTU6u2xo,2015,0.685,0.743,6.75e-05,-6.863,109.988,0.443,High,Medium,High,Neutral,0.329149,0.8260200943202789,Very High,Low,0.6701040188640558
0iA1unTbTbDOWUSlbwJ1pS,It Don't Hurt Like It Used To,1By9QBFnjZAoI83BZppHlt,2015,0.817,0.558,0.0,-4.07,81.034,0.453,High,Slow,Medium,Neutral,0.252774,0.9214681156448636,Very High,None,0.6691936231289728
