artist_id,artist_name,popularity,genres,year,simplified_genre
4Ga1P7PMIsmqEZqhYZQgDo,Lil Tecca,80,"['melodic rap', 'pluggnb', 'rap']",2021,Rap
4dpARuHxo51G3z768sgnrY,Adele,86,"['british soul', 'pop', 'pop soul', 'uk pop']",2021,Soul
63yrD80RY3RNEM2YDpUpO8,Melanie Martinez,80,"['alt z', 'electropop', 'pop']",2021,Pop
2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR,80,"['r&b', 'rap', 'urban contemporary']",2021,R&B
1dfeR4HaWDbWqFHLkxsg1d,Queen,85,"['classic rock', 'glam rock', 'rock']",2021,Rock
7oPftvlwr6VrsViSDV7fJY,Green Day,81,"['modern rock', 'permanent wave', 'punk', 'rock']",2021,Rock
3Sz7ZnJQBIHsXLUSo0OQtM,Mac DeMarco,80,"['edmonton indie', 'lo-fi indie', 'pov: indie', 'slacker rock']",2021,Indie
711MCceyCBcFnzjGY4Q7Un,AC/DC,83,"['australian rock', 'hard rock', 'rock']",2021,Rock
70kkdajctXSbqSMJbQO424,Kacey Musgraves,77,"['classic texas country', 'country dawn']",2021,Country
31W5EY0aAly4Qieq6OFu6I,A Boogie Wit da Hoodie,78,"['melodic rap', 'rap', 'trap']",2021,Rap
3tJoFztHeIJkJWMrx0td2f,Moneybagg Yo,76,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",2021,Hip Hop
5Ppie0uPnbnvGBYRwYmlt0,Megan Moroney,76,"['contemporary country', 'modern country pop']",2021,Country
6TIYQ3jFPwQSRmorSezPxX,mgk,79,"['ohio hip hop', 'pop rap']",2021,Hip Hop
6USv9qhCn6zfxlBQIYJ9qs,Dominic Fike,79,"['alternative pop rock', 'pov: indie']",2021,Pop
0BvkDsjIUla7X0k6CSWh1I,Luke Bryan,76,"['contemporary country', 'country', 'country road', 'modern country rock']",2021,Country
0EmeFodog0BfCgMzAIvKQp,Shakira,86,"['colombian pop', 'dance pop', 'latin pop', 'pop']",2021,Pop
3Nrfpe0tUJi4K4DXYWgMUX,BTS,86,"['k-pop', 'k-pop boy group', 'pop']",2021,Pop
5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,83,['pop'],2021,Pop
31TPClRtHm23RisEBtV3X7,Justin Timberlake,81,"['dance pop', 'pop']",2021,Pop
3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,83,"['r&b', 'soul']",2021,R&B
1Yj5Xey7kTwvZla8sqdsdE,Cris Mj,87,"['mambo chileno', 'trap latino', 'urbano chileno', 'urbano latino']",2021,Rap
16oZKvXb6WkQlVAjwo2Wbg,The Lumineers,79,"['folk-pop', 'modern rock', 'neo mellow', 'stomp and holler']",2021,Pop
20wkVLutqVOYrc0kxFs7rA,Daniel Caesar,81,['canadian contemporary r&b'],2021,R&B
1Tie3AZgLQZqYEp8Fv4zOZ,Koe Wetzel,75,"['classic texas country', 'modern country pop']",2021,Country
5QNm7E7RU2m64l6Gliu8Oy,HARDY,76,"['contemporary country', 'modern country pop']",2021,Country
3PhoLpVuITZKcymswpck5b,Elton John,83,"['glam rock', 'mellow gold', 'piano rock', 'rock']",2021,Rock
6zLBxLdl60ekBLpawtT63I,Cody Johnson,75,"['classic texas country', 'contemporary country', 'modern country pop']",2021,Country
137W8MRPWKqSmrBGDBFSop,Wiz Khalifa,81,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",2021,Hip Hop
0fA0VVWsXO9YnASrzqfmYu,Kid Cudi,79,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",2021,Hip Hop
5INjqkS1o8h1imAzPqGZBb,Tame Impala,80,"['australian psych', 'modern rock', 'neo-psychedelic', 'rock']",2021,Rock
360IAlyVv4PCEVjgyMZrxK,Miguel,79,"['r&b', 'urban contemporary']",2021,R&B
57LYzLEk2LcFghVwuWbcuS,Summer Walker,79,"['r&b', 'rap']",2021,R&B
4UXqAaa6dQYAk18Lv7PEgX,Fall Out Boy,79,"['emo', 'modern rock', 'pop', 'pop punk', 'rock']",2021,Rock
4Z8W4fKeB5YxbusRsdQVPb,Radiohead,81,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']",2021,Rock
4AK6F7OLvEQ5QYCBNiQWHq,One Direction,84,"['boy band', 'pop', 'post-teen pop', 'talent show']",2021,Pop
0RESbWvOMyua0yuyVrztJ5,Key Glock,76,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",2021,Hip Hop
4r63FhuTkUYltbVAg5TQnk,DaBaby,78,"['hip hop', 'north carolina hip hop', 'pop rap', 'rap', 'trap']",2021,Hip Hop
35l9BRT7MXmM8bv2WDQiyB,beabadoobee,79,"['bedroom pop', 'bubblegrunge', 'indie pop', 'pov: indie']",2021,Pop
26VFTg2z8YR0cCuwLzESi2,Halsey,81,"['electropop', 'etherpop', 'indie poptimism', 'pop']",2021,Pop
4kYSro6naA4h99UJvo89HB,Cardi B,80,"['pop', 'rap']",2021,Pop
4DdkRBBYG6Yk9Ka8tdJ9BW,Offset,79,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",2021,Hip Hop
0ErzCpIMyLcjPiwT4elrtZ,NLE Choppa,78,"['memphis hip hop', 'rap']",2021,Hip Hop
